"Lounge","Terminal","Airport","card","Image","Credit Card","ID","Created Date","Updated Date","Owner"
"Travel club lounge "," Terminal 1 - Domestic Departures, Terminal 1B","Chhatrapati Shivaji International Airport, Mumbai ","6E Rewards XL � Indigo Kotak Bank MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688021193414629416880211934146294AirportImage.png&w=96&q=75",[],"002517c0-852f-4243-8e43-53b935c2b659",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Blackberry restaurants & bar"," Domestic Terminal - Domestic departure","Coimbatore International Airport, Coimbatore","Club Vistara SBI Visa Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"005ab649-1888-4490-892d-f8a39c88e3f1",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge New Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","YES Premia Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"006aaef7-e7e4-440f-b6ac-56816b091920",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","YES First Preferred Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"00904c97-881d-4ead-ae6e-7d3f085e90f0",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","SpiceJet Axis Bank Voyage Black Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"00b7b160-263a-456f-85e1-df57d184eb04",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","Club Vistara SBI Card PRIME Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"00cfa099-a23f-455c-a442-f7cfa12bc1a1",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Club Vistara SBI Visa Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"00ef1739-ab05-4879-9e41-b06928fcb8d6",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","Flipkart Axis Bank Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"011c190a-0def-4bc3-a5bb-11d78b6afa45",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge Old Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"0159fc01-8b8e-4449-9fd1-8c6c6d38db7b",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","Paytm SBI Visa Credit Card Select","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"015a886e-eacc-4b56-b7c7-d0036bf8452b",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Adani lounge"," Terminal 2 - Domestic Terminal ","Chhatrapati Shivaji International Airport, Mumbai ","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020939053513416880209390535134AirportImage.webp&w=96&q=75",[],"0179348c-ce43-40b0-a9f1-0990bcc8ba18",2024-05-30T16:53:43Z,2024-05-30T16:53:43Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"018da60a-d643-46c1-8239-f1c8057f4a84",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 1 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","Axis Bank MY Zone Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688024955633740716880249556337407AirportImage.webp&w=96&q=75",[],"01920d14-3298-4267-a2d6-87333ed7e889",2024-05-30T16:53:38Z,2024-05-30T16:53:38Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Domestic Terminal - Domestic Departures","Netaji Subhas Chandra Bose International Airport, Kolkata","Standard Chartered Emirates World MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688021193414629416880211934146294AirportImage.png&w=96&q=75",[],"01b118f4-1445-4c6a-9245-79ba972d72e9",2024-05-30T16:53:55Z,2024-05-30T16:53:55Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," International Terminal - International Departures","Cochin International Airport, Kochi","Club Vistara SBI Card PRIME Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"01ed3d5a-cf3c-42ff-9d39-cdd32f1f773f",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal","Devi Ahilya Bai Holkar Airport, Indore","Etihad Guest SBI Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"01f6f344-23f3-4238-99ef-ab3866008af5",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","NRI Royale Signature Kotak Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020366128135716880203661281357AirportImage.webp&w=96&q=75",[],"02088bb3-be25-4dd1-902e-3801cf64cee0",2024-05-30T16:53:44Z,2024-05-30T16:53:44Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge Old Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","Lifestyle Home Centre SBI Card Prime","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"021a50cf-56ec-4591-9740-4d5db0712036",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Mandarin lounge "," Domestic Terminal - Domestic Terminal","Dr. Babasaheb Ambedkar International Airport, Nagpur","Club Vistara SBI Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"023a7fa4-56ad-4122-bb80-d2791d35a065",2024-05-30T16:53:35Z,2024-05-30T16:53:35Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 2 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","Club Vistara SBI Card PRIME Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020939053513416880209390535134AirportImage.webp&w=96&q=75",[],"0283af7e-59a1-40bc-9647-c3b8fc167c4a",2024-05-30T16:53:50Z,2024-05-30T16:53:50Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal ","Madurai International Airport, Madurai","YES Private Prime Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"0297f605-e1e8-41a7-b600-45c1d1d798d3",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The Executive Lounge"," Domestic Terminal - Domestic Departures","Jammu Airport, Jammu ","YES Private Prime Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"02b3fa18-e4f0-43e2-9211-48174355d807",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Oasis lounge"," Terminal 1 - Domestic Departures ","Chhatrapati Shivaji International Airport, Mumbai ","SBI Prime Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"02e26d34-6838-4511-80b4-42f577bd6a05",2024-05-30T16:53:49Z,2024-05-30T16:53:49Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Flipkart Axis Bank Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"0302b12a-de03-4226-a577-59d1965540b3",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","AU Small Finance Bank LIT Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"03090a61-433c-4332-8105-03d5161b294b",2024-05-30T16:53:56Z,2024-05-30T16:53:56Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Mandarin lounge "," Domestic Terminal - Domestic Terminal","Dr. Babasaheb Ambedkar International Airport, Nagpur","Myntra Kotak Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"031b0dd7-e1be-475d-8152-3837b0e29d2d",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Terminal 1 - Domestic Departures, Terminal 1B","Chhatrapati Shivaji International Airport, Mumbai ","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"032930a3-ac79-460e-b526-83ff05f713f8",2024-05-30T16:53:43Z,2024-05-30T16:53:43Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," Terminal 1 - Domestic Departures, Terminal 1","Cochin International Airport, Kochi","American Express Platinum Charge Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"033d8bf6-60f4-4d14-a846-561c979c8e0e",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","HDFC Bank Millennia MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"03440d5a-5882-494f-8769-f9bc0b995195",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","YES Private Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"03853684-03fb-4af7-9239-f108b912e84f",2024-05-31T04:47:05Z,2024-05-31T04:47:05Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Loyalty Lounge"," Terminal 2 - International Terminal","Chhatrapati Shivaji International Airport, Mumbai ","Standard Chartered Emirates World MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"038853a6-9e6f-48c3-8347-b88e1ca26317",2024-05-30T16:53:55Z,2024-05-30T16:53:55Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 International Lounge"," Terminal 1 - International Terminal","Kempegowda International Airport, Bengaluru","SBI ELITE Visa Signature Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"03936925-5e84-44e1-9c55-93034c6229eb",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 1 - Domestic Terminal","Kempegowda International Airport, Bengaluru","Axis Bank Magnus Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688127311287618716881273112876187AirportImage.webp&w=96&q=75",[],"03a64576-77d3-4af3-9142-51b9a17eb351",2024-05-30T16:53:52Z,2024-05-30T16:53:52Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","Kotak White Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"03c12320-e04b-45f5-8a81-f8926d3586ca",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The lounge "," Terminal 2 - Domestic Terminal ","Chaudhary Charan Singh International Airport, Lucknow","AU Bank Zenith Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"03d4e63d-8d41-4847-9a5c-0f6fc42734ec",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","Myntra Kotak Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020939053513416880209390535134AirportImage.webp&w=96&q=75",[],"03f4d133-66c6-40ee-a46e-112c271eb22b",2024-05-30T16:53:39Z,2024-05-30T16:53:39Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge Old Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","Kotak White Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"0411134a-5cb1-4235-8d75-122c8f152714",2024-05-30T16:53:52Z,2024-05-30T16:53:52Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," International Terminal - International departures","Netaji Subhas Chandra Bose International Airport, Kolkata","YES Private Prime Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"04298c8d-8cdb-4cff-b00a-efda1d68f406",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","Etihad Guest SBI Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020454391397016880204543913970AirportImage.webp&w=96&q=75",[],"045431e3-75bf-4675-b535-26f59965fb8c",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 2 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","SBI ELITE Visa Signature Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020048192079016880200481920790AirportImage.webp&w=96&q=75",[],"046ea149-e94c-4615-8ea4-64436ade99fa",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"The lounge "," Terminal 2 - Domestic Terminal ","Chaudhary Charan Singh International Airport, Lucknow","Kotak Infinite Credit card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"0479e56b-0828-4a88-a3cc-e612d0e8ef80",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Domestic Terminal - Domestic Departures","Netaji Subhas Chandra Bose International Airport, Kolkata","Axis Bank MY Zone Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020048192079016880200481920790AirportImage.webp&w=96&q=75",[],"04971ae9-bfb9-4ad8-908c-2e9d39b5f0e3",2024-05-30T16:53:56Z,2024-05-30T16:53:56Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Blackberry restaurants & bar"," Domestic Terminal - Domestic departure","Coimbatore International Airport, Coimbatore","Kotak White Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"04b59e49-a406-499b-a1f5-cceeb6ebfe5b",2024-05-30T16:53:53Z,2024-05-30T16:53:53Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 1 - Domestic Terminal","Kempegowda International Airport, Bengaluru","American Express Platinum Reserve Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"04ccd2fc-8004-4734-9a4f-003c17ec3cd3",2024-05-30T16:53:38Z,2024-05-30T16:53:38Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 1 - Domestic Terminal","Kempegowda International Airport, Bengaluru","SBI ELITE Visa Signature Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"04d1cced-1f30-4d78-971c-e1e5a04fd476",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","AU Small Finance Bank LIT Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020288967971916880202889679719AirportImage.webp&w=96&q=75",[],"04e18026-04ad-4932-b8c8-da34a449dcdc",2024-05-30T16:53:56Z,2024-05-30T16:53:56Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Flipkart Axis Bank MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020048192079016880200481920790AirportImage.webp&w=96&q=75",[],"04eac822-b7ff-42d1-a4c0-86792afb302a",2024-05-30T16:53:44Z,2024-05-30T16:53:44Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 1 - Domestic Departures","Indira Gandhi International Airport , New Delhi ","Standard Chartered EaseMyTrip Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"04f22969-0f7d-4fec-a206-c35a09746400",2024-05-30T16:53:55Z,2024-05-30T16:53:55Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus Lounge"," Domestic Terminal - Domestic Departures","Shaheed Bhagat Singh International Airport, Chandigarh","6E Rewards XL � Indigo Kotak Bank MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020366128135716880203661281357AirportImage.webp&w=96&q=75",[],"050d5f7c-1109-45c4-9156-ac21dc83f8f6",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge New Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","Kotak White Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"056cc3bd-15be-47f7-aba2-8a9b562ad645",2024-05-30T16:53:50Z,2024-05-30T16:53:50Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","YES Premia Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"057e59c3-6944-40d3-80c5-ea79336fb8a6",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - Domestic Departure","Indira Gandhi International Airport , New Delhi ","Samsung Axis Bank Signature Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"0588cf24-0a7d-4b8d-abf2-0075673a2e80",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus Lounge"," Domestic Terminal - Domestic Departure ","Maharaja Bir Bikram Airport, Agartala","Club Vistara SBI Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688024955633740716880249556337407AirportImage.webp&w=96&q=75",[],"05d4f908-3a41-47df-92fe-16c0e8875eee",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Blackberry restaurants & bar"," Domestic Terminal - Domestic departure","Coimbatore International Airport, Coimbatore","AU Bank Xcite Ace Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019357175430116880193571754301AirportImage.webp&w=96&q=75",[],"05ddcaa1-8b02-484f-939d-6be6c4058c7a",2024-05-30T16:53:45Z,2024-05-30T16:53:45Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Club Vistara SBI Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020939053513416880209390535134AirportImage.webp&w=96&q=75",[],"05f578a7-b65b-43ea-bb3f-95f0f7c3c970",2024-05-30T16:53:35Z,2024-05-30T16:53:35Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic departure","Jolly Grant Airport, Dehradun","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020048192079016880200481920790AirportImage.webp&w=96&q=75",[],"063725a0-b57d-4ca4-ab55-882088509ece",2024-05-30T16:53:42Z,2024-05-30T16:53:42Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus Lounge"," Domestic Terminal - Domestic Departure ","Maharaja Bir Bikram Airport, Agartala","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"067e807c-6f60-4188-a7e2-895edc13b354",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Citi Prestige Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"068df24f-08ee-4c93-b9e5-43e4843a7d72",2024-05-30T16:53:49Z,2024-05-30T16:53:49Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"080 Domestic Lounge"," Terminal 2 - Domestic Terminal","Kempegowda International Airport, Bengaluru","Samsung Axis Bank Infinite Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"06cc082c-b2f6-4822-8587-98e9e7c163b1",2024-05-30T16:53:44Z,2024-05-30T16:53:44Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - International Departures","Indira Gandhi International Airport , New Delhi ","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1690288946693662516902889466936625AirportImage.webp&w=96&q=75",[],"06f73b0c-0629-47ba-9d56-e683a5be19d4",2024-05-30T16:53:42Z,2024-05-30T16:53:42Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","YES Premia Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020904163860416880209041638604AirportImage.webp&w=96&q=75",[],"075297c2-c65d-4324-a530-aa88639c92f2",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","Kotak Zen Signature Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020288967971916880202889679719AirportImage.webp&w=96&q=75",[],"07577d3d-acce-43b8-ac0f-03bd0c7cd6ac",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge New Terminal"," International Terminal - International Terminal","Chennai International Airport , Chennai","YES Prosperity Edge Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688024955633740716880249556337407AirportImage.webp&w=96&q=75",[],"075b3514-0623-4f29-8fb1-bf51a6b812b1",2024-05-30T16:53:42Z,2024-05-30T16:53:42Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Terminal 1 - Domestic Departures, Terminal 1B","Chhatrapati Shivaji International Airport, Mumbai ","Flipkart Axis Bank Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"07877aac-db3f-46bc-9bc4-bbe292ba34ea",2024-05-30T16:53:54Z,2024-05-30T16:53:54Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic departure","Jolly Grant Airport, Dehradun","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"078bc1ce-fe90-497b-b964-8061d53ef3a8",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal","Devi Ahilya Bai Holkar Airport, Indore","Kotak Infinite Credit card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020366128135716880203661281357AirportImage.webp&w=96&q=75",[],"07924881-bf60-4f6b-b898-003f8f39769f",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
