"Lounge","Terminal","Airport","card","Image","Credit Card","ID","Created Date","Updated Date","Owner"
"Earth lounge"," Terminal 1 - Domestic Departures, Terminal 1","Cochin International Airport, Kochi","AU Bank Xcite Ace Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020288967971916880202889679719AirportImage.webp&w=96&q=75",[],"c0260580-ba46-4427-bdc2-e5d0d34491f6",2024-05-30T16:53:45Z,2024-05-30T16:53:45Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," International Terminal - International Departures","Cochin International Airport, Kochi","SBI Prime Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"c032d5a8-59f0-4d7f-bc00-d064ba1b45f0",2024-05-30T16:53:49Z,2024-05-30T16:53:49Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Adani lounge"," Terminal 2 - Domestic Terminal ","Chhatrapati Shivaji International Airport, Mumbai ","Axis Bank Magnus Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"c05c1938-d53f-4eb7-86da-a9ca48ebd9fd",2024-05-30T16:53:52Z,2024-05-30T16:53:52Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Adani lounge"," Terminal 2 - Domestic Terminal ","Chhatrapati Shivaji International Airport, Mumbai ","6E Rewards XL � Indigo Kotak Bank MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020454391397016880204543913970AirportImage.webp&w=96&q=75",[],"c06675e4-df2b-4529-9cc4-b3e13fdb660a",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR international lounge "," Terminal 1 - International Departures","Kempegowda International Airport, Bengaluru","Citibank PremierMiles Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019554699202616880195546992026AirportImage.webp&w=96&q=75",[],"c08f659c-fb81-4f63-ad04-587c11017954",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Loyalty Lounge"," Terminal 2 - International Terminal","Chhatrapati Shivaji International Airport, Mumbai ","Paytm HDFC Bank Select Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687952014963344116879520149633441AirportImage.webp&w=96&q=75",[],"c0c954b8-3a9b-46a5-aab9-79571b4fdf8a",2024-05-30T16:53:45Z,2024-05-30T16:53:45Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic departure","Jolly Grant Airport, Dehradun","HDFC Bank Infinia MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688024955633740716880249556337407AirportImage.webp&w=96&q=75",[],"c0cf200a-e83e-476e-87fa-bbaad999c4d1",2024-05-30T16:53:57Z,2024-05-30T16:53:57Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Loyalty Lounge"," Terminal 2 - International Terminal","Chhatrapati Shivaji International Airport, Mumbai ","KVB SBI Signature Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"c0d7adef-8928-44e7-9af9-df3ef24f2e86",2024-05-30T16:53:56Z,2024-05-30T16:53:56Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge A"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","AU Bank Zenith Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019554699202616880195546992026AirportImage.webp&w=96&q=75",[],"c0dca323-8de1-4b76-b5e2-e68dbf246b6a",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," Terminal 1 - Domestic Departures, Terminal 1","Cochin International Airport, Kochi","ICICI Bank Emeralde MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687940499819938816879404998199388AirportImage.webp&w=96&q=75",[],"c0dd37e6-e65c-4ee5-b9cb-fccb7b11d64b",2024-05-30T16:53:47Z,2024-05-30T16:53:47Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
